,statename,fipslist
0,Alaska,"['02010', '02130', '02290', '02180', '02261', '02060', '02122', '02220', '02170', '02050', '02270', '02090', '02280', '02020', '02150', '02240', '02140', '02070', '02201', '02110', '02231', '02185']"
1,Alabama,"['01117', '01053', '01035', '01013', '01123', '01085', '01031', '01065', '01121', '01115', '01095', '01075', '01067', '01037', '01047', '01129', '01089', '01111', '01083', '01063', '01009', '01051', '01055', '01021', '01029', '01059', '01091', '01019', '01003', '01125', '01041', '01027', '01071', '01073', '01103', '01033', '01017', '01109', '01069', '01001', '01039', '01133', '01043', '01097', '01077', '01005', '01113', '01057', '01011', '01015', '01023', '01061', '01105', '01045', '01079', '01101', '01127', '01025', '01119', '01099', '01081', '01107', '01087', '01131', '01007', '01049', '01093']"
2,Arkansas,"['05037', '05135', '05093', '05147', '05099', '05069', '05139', '05049', '05065', '05017', '05041', '05133', '05117', '05011', '05031', '05025', '05061', '05059', '05145', '05075', '05053', '05143', '05141', '05047', '05125', '05131', '05129', '05039', '05097', '05067', '05019', '05119', '05105', '05103', '05079', '05003', '05021', '05123', '05107', '05149', '05029', '05007', '05073', '05111', '05013', '05115', '05035', '05101', '05063', '05087', '05001', '05121', '05081', '05051', '05137', '05113', '05071', '05057', '05091', '05095', '05043', '05045', '05027', '05033', '05085', '05127', '05109', '05055', '05005', '05015', '05009', '05083', '05089', '05023', '05077']"
3,AS,[]
4,Arizona,"['04021', '04015', '04013', '04025', '04001', '04007', '04019', '04005', '04027', '04003', '04017', '04023', '04012', '04011', '04009']"
5,California,"['06089', '06001', '06010', '06071', '06039', '06063', '06047', '06005', '06057', '06061', '06093', '06105', '06025', '06087', '06003', '06059', '06023', '06115', '06041', '06111', '06107', '06067', '06103', '06031', '06109', '06053', '06049', '06073', '06099', '06029', '06055', '06015', '06040', '06035', '06097', '06085', '06081', '06043', '06033', '06095', '06091', '06101', '06045', '06065', '06021', '06019', '06011', '06037', '06069', '06075', '06013', '06051', '06077', '06007', '06113', '06079', '06009', '06083', '06027', '06017']"
6,Colorado,"['08063', '08047', '08103', '08021', '08025', '08005', '08089', '08053', '08079', '08027', '08115', '08031', '08095', '08009', '08105', '08017', '08091', '08123', '08093', '08083', '08041', '08039', '08035', '08111', '08099', '08081', '08001', '08071', '08007', '08117', '08077', '08029', '08085', '08013', '08097', '08075', '08073', '08119', '08107', '08059', '08069', '08101', '08057', '08003', '08067', '08065', '08125', '08019', '08045', '08087', '08033', '08121', '08109', '08051', '08055', '08011', '08015', '08023', '08061', '08043', '08113', '08049', '08037']"
7,Connecticut,"['09001', '09011', '09103', '09005', '09003', '09013', '09015', '09007', '09009']"
8,District of Columbia,"['11031', '11033', '11001']"
9,Delaware,"['10005', '10003', '10001']"
10,Florida,"['12059', '12047', '12103', '12057', '12085', '12041', '12097', '12079', '12003', '12005', '12055', '12117', '12033', '12091', '12013', '12105', '12077', '12073', '12095', '12115', '12101', '12133', '12131', '12049', '12031', '12083', '12027', '12065', '12035', '12111', '12043', '12039', '12021', '12071', '12017', '12099', '12037', '12127', '12029', '12001', '12075', '12125', '12025', '12007', '12045', '12107', '12081', '12089', '12023', '12129', '12019', '12061', '12067', '12053', '12121', '12113', '12009', '12109', '12093', '12123', '12063', '12069', '12051', '12015', '12087', '12011', '12119']"
11,FM,['64003']
12,Georgia,"['13125', '13283', '13103', '13053', '13305', '13195', '13011', '13273', '13181', '13019', '13249', '13309', '13253', '13001', '13281', '13279', '13231', '13139', '13045', '13159', '13129', '13227', '13251', '13265', '13263', '13043', '13199', '13135', '13233', '13239', '13169', '13147', '13293', '13161', '13311', '13117', '13211', '13029', '13297', '13063', '13259', '13025', '13099', '13269', '13085', '13145', '13287', '13027', '13035', '13101', '13155', '13191', '13009', '13091', '13005', '13153', '13303', '13215', '13247', '13261', '13095', '13223', '13315', '13317', '13189', '13301', '13057', '13065', '13277', '13061', '13185', '13255', '13271', '13087', '13109', '13151', '13171', '13073', '13007', '13067', '13183', '13059', '13291', '13131', '13289', '13243', '13097', '13039', '13173', '13165', '13075', '13209', '13267', '13299', '13275', '13133', '13163', '13179', '13069', '13207', '13015', '13051', '13257', '13081', '13113', '13111', '13217', '13077', '13123', '13321', '13107', '13319', '13295', '13237', '13037', '13175', '13047', '13115', '13127', '13143', '13167', '13197', '13079', '13049', '13229', '13083', '13245', '13149', '13105', '13205', '13313', '13003', '13017', '13213', '13089', '13241', '13307', '13031', '13013', '13187', '13141', '13021', '13177', '13121', '13055', '13221', '13193', '13157', '13119', '13033', '13219', '13201', '13285', '13093', '13071', '13137', '13235', '13023', '13225']"
13,GU,['66010']
14,Hawaii,"['15009', '15050', '15001', '15007', '15003']"
15,Iowa,"['19163', '19107', '19191', '19015', '19193', '19189', '19073', '19195', '19131', '19061', '19077', '19003', '19029', '19087', '19063', '19119', '19011', '19157', '19175', '19049', '19139', '19143', '19129', '19113', '19023', '19159', '19033', '19013', '19071', '19197', '19055', '19097', '19179', '19117', '19147', '19137', '19115', '19121', '19149', '19045', '19017', '19067', '19047', '19095', '19009', '19099', '19027', '19101', '19153', '19039', '19085', '19173', '19171', '19079', '19105', '19041', '19089', '19109', '19123', '19127', '19057', '19141', '19161', '19051', '19135', '19167', '19075', '19111', '19065', '19005', '19001', '19035', '19125', '19169', '19043', '19037', '19069', '19133', '19151', '19103', '19181', '19031', '19081', '19019', '19053', '19021', '19187', '19007', '19145', '19091', '19059', '19185', '19177', '19025', '19165', '19155', '19093', '19183', '19083']"
16,Idaho,"['16069', '16045', '16001', '16071', '16031', '16005', '16047', '16035', '16039', '16083', '16029', '16063', '16059', '16011', '16049', '16023', '16067', '16019', '16007', '16061', '16043', '16075', '16079', '16033', '16057', '16051', '16065', '16021', '16027', '16073', '16081', '16087', '16013', '16009', '16085', '16003', '16015', '16025', '16053', '16077', '16041', '16017', '16055', '16037']"
17,Illinois,"['17115', '17091', '17027', '17185', '17141', '17121', '17063', '17201', '17177', '17145', '17019', '17087', '17111', '17117', '17129', '17199', '17191', '17195', '17173', '17079', '17169', '17131', '17013', '17137', '17043', '17051', '17135', '17133', '17005', '17171', '17003', '17021', '17053', '17109', '17073', '17035', '17067', '17151', '17057', '17015', '17153', '17017', '17055', '17157', '17181', '17125', '17127', '17007', '17139', '17107', '17149', '17009', '17037', '17189', '17065', '17099', '17197', '17119', '17047', '17085', '17101', '17039', '17097', '17193', '17077', '17023', '17203', '17175', '17001', '17167', '17095', '17179', '17163', '17033', '17161', '17105', '17113', '17081', '17093', '17159', '17143', '17147', '17011', '17049', '17069', '17061', '17155', '17165', '17059', '17083', '17071', '17089', '17045', '17075', '17050', '17103', '17041', '17183', '17123', '17025', '17187', '17031', '17029']"
18,Indiana,"['18025', '18075', '18095', '18147', '18167', '18165', '18113', '18001', '18039', '18157', '18125', '18121', '18051', '18143', '18161', '18041', '18149', '18089', '18183', '18133', '18065', '18055', '18057', '18139', '18173', '18097', '18027', '18011', '18155', '18151', '18159', '18031', '18131', '18127', '18071', '18033', '18109', '18073', '18117', '18101', '18085', '18137', '18005', '18177', '18021', '18069', '18099', '18049', '18181', '18123', '18061', '18013', '18023', '18067', '18103', '18115', '18111', '18003', '18179', '18019', '18007', '18105', '18145', '18129', '18135', '18081', '18035', '18029', '18119', '18163', '18043', '18017', '18009', '18077', '18045', '18053', '18171', '18047', '18059', '18175', '18015', '18093', '18037', '18079', '18063', '18169', '18087', '18091', '18141', '18107', '18083', '18153']"
19,Kansas,"['20077', '20203', '20191', '20005', '20199', '20109', '20119', '20037', '20035', '20071', '20195', '20209', '20065', '20175', '20069', '20047', '20021', '20129', '20167', '20117', '20193', '20153', '20087', '20057', '20147', '20055', '20053', '20171', '20141', '20049', '20121', '20151', '20041', '20073', '20101', '20089', '20107', '20043', '20115', '20015', '20155', '20123', '20029', '20183', '20079', '20157', '20133', '20067', '20023', '20009', '20061', '20137', '20017', '20027', '20045', '20125', '20091', '20169', '20063', '20181', '20145', '20059', '20097', '20139', '20205', '20085', '20105', '20159', '20197', '20131', '20179', '20007', '20003', '20051', '20187', '20081', '20165', '20189', '20093', '20113', '20025', '20143', '20075', '20135', '20019', '20161', '20013', '20001', '20111', '20033', '20201', '20163', '20177', '20207', '20127', '20149', '20011', '20173', '20031', '20039', '20185', '20099', '20103', '20083', '20095']"
20,Kentucky,"['21195', '21187', '21191', '21209', '21001', '21139', '21171', '21173', '21237', '21183', '21053', '21115', '21081', '21011', '21169', '21035', '21105', '21159', '21037', '21031', '21099', '21157', '21027', '21051', '21201', '21055', '21101', '21151', '21225', '21119', '21149', '21189', '21123', '21043', '21091', '21175', '21077', '21095', '21229', '21163', '21039', '21223', '21061', '21093', '21221', '21153', '21155', '21147', '21177', '21065', '21193', '21239', '21013', '21125', '21063', '21129', '21085', '21233', '21021', '21203', '21165', '21133', '21071', '21113', '21143', '21041', '21097', '21103', '21019', '21029', '21067', '21083', '21207', '21205', '21025', '21073', '21007', '21197', '21179', '21069', '21121', '21075', '21045', '21137', '21211', '21087', '21109', '21059', '21199', '21215', '21023', '21009', '21057', '21161', '21131', '21117', '21017', '21231', '21219', '21213', '21185', '21003', '21145', '21049', '21127', '21167', '21033', '21227', '21015', '21107', '21135', '21235', '21047', '21079', '21005', '21217', '21141', '21089', '21181', '21111']"
21,Louisiana,"['22077', '22041', '22047', '22111', '22033', '22105', '22001', '22007', '22003', '22029', '22035', '22091', '22013', '22019', '22089', '22099', '22051', '22115', '22017', '22097', '22011', '22069', '22093', '22049', '22039', '22043', '22067', '22127', '22005', '22081', '22087', '22063', '22119', '22107', '22057', '22121', '22059', '22123', '22055', '22031', '22023', '22915', '22071', '22125', '22075', '22103', '22117', '22025', '22109', '22037', '22000', '22021', '22101', '22009', '22045', '22085', '22083', '22079', '22027', '22065', '22053', '22073', '22095', '22015', '22113', '22061']"
22,Massachusetts,"['25027', '25013', '25017', '25015', '25011', '25009', '25001', '25025', '25003', '25021', '25019', '25007', '25005', '25023']"
23,Maryland,"['24033', '24037', '24017', '24031', '24023', '24047', '24045', '24009', '24011', '24035', '24013', '24005', '24027', '24001', '24015', '24003', '24029', '24041', '24021', '24039', '24510', '24019', '24025', '24043']"
24,Maine,"['23027', '23005', '23021', '23031', '23007', '23025', '23003', '23023', '23011', '23019', '23009', '23017', '23015', '23001', '23013', '23029']"
25,MH,['68020']
26,Michigan,"['26073', '26049', '26147', '26107', '26051', '26039', '26093', '26139', '26095', '26047', '26119', '26079', '26161', '26113', '26131', '26135', '26033', '26115', '26009', '26141', '26013', '26145', '26053', '26001', '26007', '26157', '26133', '26091', '26151', '26019', '26129', '26137', '26015', '26059', '26125', '26029', '26165', '26123', '26121', '26153', '26127', '26011', '26069', '26105', '26005', '26075', '26045', '26065', '26025', '26101', '26017', '26003', '26085', '26163', '26081', '26099', '26021', '26087', '26155', '26071', '26149', '26061', '26063', '26111', '26117', '26077', '26083', '26089', '26143', '26023', '26159', '26057', '26041', '26027', '26109', '26031', '26035', '26097', '26103', '26055', '26037', '26043', '26067']"
27,Minnesota,"['27019', '27057', '27165', '27041', '27103', '27173', '27087', '27007', '27137', '27083', '27113', '27033', '27075', '27003', '27169', '27029', '27081', '27055', '27161', '27139', '27031', '27013', '27045', '27127', '27117', '27171', '27067', '27079', '27051', '27069', '27151', '27053', '27155', '27101', '27005', '27025', '27061', '27095', '27123', '27167', '27043', '27119', '27021', '27135', '27063', '27085', '27017', '27145', '27091', '27157', '27147', '27093', '27039', '27115', '27065', '27089', '27000', '27023', '27073', '27143', '27121', '27131', '27035', '27141', '27153', '27159', '27133', '27049', '27009', '27097', '27071', '27105', '27011', '27015', '27149', '27059', '27027', '27125', '27037', '27111', '27077', '27099', '27129', '27047', '27163', '27109', '27001', '27107']"
28,Missouri,"['29043', '29129', '29011', '29063', '29227', '29047', '29183', '29005', '29031', '29025', '29009', '29209', '29073', '29037', '29001', '29000', '29041', '29145', '29069', '29165', '29167', '29077', '29147', '29225', '29107', '29075', '29125', '29141', '29189', '29133', '29157', '29161', '29199', '29019', '29007', '29093', '29079', '29139', '29051', '29135', '29149', '29179', '29059', '29207', '29035', '29201', '29067', '29185', '29021', '29049', '29087', '29203', '29045', '29153', '29055', '29053', '29029', '29177', '29015', '29013', '29217', '29103', '29099', '29101', '29211', '29119', '29091', '29187', '29095', '29081', '29039', '29127', '29215', '29089', '29159', '29173', '29023', '29219', '29117', '29186', '29205', '29171', '29163', '29197', '29097', '29510', '29061', '29169', '29033', '29131', '29195', '29017', '29175', '29181', '29003', '29213', '29027', '29105', '29155', '29083', '29123', '29065', '29115', '29057', '29085', '29113', '29109', '29121', '29137', '29229', '29143', '29071', '29151', '29111', '29221', '29223']"
29,MP,['69010']
30,Mississippi,"['28153', '28161', '28097', '28095', '28111', '28159', '28141', '28125', '28077', '28037', '28001', '28157', '28121', '28131', '28039', '28163', '28059', '28007', '28075', '28025', '28045', '28085', '28051', '28047', '28099', '28053', '28015', '28029', '28019', '28067', '28113', '28003', '28127', '28119', '28061', '28011', '28033', '28043', '28143', '28129', '28155', '28093', '28065', '28101', '28147', '28135', '28005', '28109', '28149', '28133', '28071', '28049', '28117', '28137', '28083', '28103', '28057', '28035', '28013', '28069', '28089', '28107', '28031', '28041', '28145', '28027', '28079', '28055', '28115', '28123', '28151', '28009', '28139', '28063', '28017', '28105', '28091', '28087', '28021', '28023', '28073', '28081']"
31,Montana,"['30023', '30061', '30003', '30111', '30067', '30107', '30029', '30081', '30097', '30051', '30073', '30085', '30079', '30053', '30041', '30103', '30019', '30007', '30095', '30047', '30065', '30101', '30105', '30015', '30063', '30009', '30099', '30027', '30011', '30055', '30069', '30017', '30093', '30033', '30045', '30039', '30031', '30035', '30109', '30001', '30077', '30013', '30089', '30025', '30049', '30037', '30075', '30071', '30059', '30087', '30091', '30057', '30083', '30005', '30043', '30021']"
32,North Carolina,"['37105', '37111', '37195', '37055', '37021', '37115', '37197', '37043', '37079', '37025', '37029', '37033', '37157', '37187', '37165', '37073', '37155', '37019', '37053', '37141', '37103', '37013', '37023', '37065', '37185', '37119', '37113', '37133', '37179', '37123', '37171', '37149', '37099', '37121', '37039', '37109', '37161', '37075', '37009', '37189', '37059', '37135', '37069', '37151', '37183', '37131', '37093', '37175', '37127', '37083', '37169', '37071', '37181', '37167', '37085', '37095', '37145', '37057', '37097', '37107', '37137', '37177', '37000', '37153', '37143', '37159', '37129', '37091', '37015', '37087', '37001', '37193', '37027', '37633', '37007', '37035', '37017', '37061', '37163', '37047', '37045', '37031', '37139', '37173', '37005', '37191', '37011', '37037', '37089', '37003', '37049', '37081', '37199', '37063', '37067', '37101', '37117', '37077', '37125', '37041', '37147', '37051']"
33,North Dakota,"['38103', '38095', '38019', '38079', '38047', '38051', '38099', '38077', '38101', '38009', '38097', '38065', '38085', '38071', '38075', '38057', '38091', '38087', '38073', '38049', '38039', '38089', '38013', '38067', '38017', '38081', '38021', '38055', '38001', '38031', '38093', '38025', '38027', '38041', '38037', '38003', '38015', '38011', '38035', '38053', '38033', '38059', '38083', '38045', '38029', '38063', '38105', '38043', '38061', '38007', '38023', '38005', '38069']"
34,Nebraska,"['31175', '31147', '31127', '31059', '31139', '31043', '31087', '31149', '31063', '31103', '31051', '31077', '31013', '31133', '31005', '31177', '31055', '31093', '31121', '31143', '31047', '31161', '31023', '31083', '31165', '31011', '31109', '31029', '31085', '31145', '31105', '31073', '31125', '31111', '31015', '31141', '31037', '31067', '31131', '31035', '31119', '31135', '31113', '31081', '31089', '31115', '31123', '31097', '31117', '31053', '31091', '31001', '31049', '31041', '31075', '31167', '31065', '31009', '31153', '31061', '31007', '31039', '31071', '31031', '31183', '31181', '31095', '31069', '31057', '31003', '31173', '31179', '31157', '31101', '31185', '31159', '31151', '31033', '31129', '31027', '31021', '31171', '31137', '31079', '31155', '31107', '31019', '31025', '31017', '31163', '31099', '31169', '31045']"
35,New Hampshire,"['33011', '33031', '33013', '33001', '33007', '33009', '33017', '33005', '33003', '33015', '33019']"
36,New Jersey,"['34011', '34013', '34005', '34021', '34007', '34025', '34015', '34033', '34009', '34041', '34003', '34039', '34023', '34035', '34029', '34001', '34017', '34037', '34031', '34027', '34019']"
37,New Mexico,"['35009', '35023', '35051', '35017', '35015', '35006', '35021', '35049', '35045', '35011', '35029', '35053', '35025', '35039', '35043', '35057', '35055', '35028', '35019', '35031', '35037', '35041', '35013', '35005', '35027', '35003', '35001', '35007', '35047', '35033', '35035', '35061', '35059']"
38,Nevada,"['32023', '32013', '32029', '32031', '32027', '32005', '32510', '32001', '32017', '32011', '32045', '32007', '32015', '32003', '32009', '32019', '32033', '32021']"
39,New York,"['36069', '36043', '36049', '36079', '36029', '36031', '36107', '36081', '36053', '36003', '36000', '36035', '36095', '36123', '36111', '36097', '36119', '36071', '36063', '36021', '36027', '36121', '36037', '36115', '36041', '36001', '36117', '36005', '36007', '36083', '36047', '36099', '36059', '36067', '36051', '36105', '36073', '36101', '36077', '36057', '36089', '36025', '36075', '36019', '36015', '36013', '36033', '36009', '36061', '36087', '36103', '36109', '36055', '36113', '36017', '36065', '36011', '36085', '36039', '36045', '36023', '36091', '36093']"
40,Ohio,"['39103', '39143', '39113', '39127', '39015', '39057', '39075', '39089', '39067', '39021', '39171', '39111', '39105', '39045', '39109', '39001', '39055', '39095', '39155', '39115', '39135', '39161', '39079', '39125', '39039', '39053', '39151', '39175', '39035', '39063', '39139', '39059', '39119', '39117', '39025', '39069', '39027', '39107', '39061', '39091', '39131', '39153', '39133', '39047', '39017', '39097', '39101', '39005', '39085', '39123', '39093', '39167', '39081', '39141', '39071', '39173', '39129', '39019', '39009', '39099', '39023', '39137', '39013', '39007', '39031', '39149', '39165', '39159', '39087', '39051', '39169', '39147', '39049', '39163', '39003', '39073', '39041', '39077', '39011', '39029', '39043', '39145', '39157', '39033', '39037', '39121', '39065', '39083']"
41,Oklahoma,"['40137', '40031', '40129', '40007', '40151', '40105', '40015', '40041', '40079', '40123', '40047', '40077', '40131', '40103', '40039', '40059', '40071', '40027', '40085', '40115', '40091', '40069', '40045', '40107', '40005', '40021', '40149', '40101', '40083', '40009', '40053', '40029', '40049', '40043', '40017', '40143', '40141', '40153', '40003', '40117', '40055', '40145', '40073', '40109', '40025', '40087', '40093', '40035', '40121', '40139', '40135', '40125', '40081', '40133', '40099', '40075', '40013', '40019', '40119', '40111', '40061', '40065', '40097', '40033', '40011', '40127', '40037', '40063', '40113', '40089', '40057', '40023', '40001', '40095', '40051', '40067', '40147']"
42,Oregon,"['41029', '41067', '41053', '41011', '41051', '41035', '41019', '41041', '41045', '41009', '41043', '41005', '41013', '41023', '41017', '41059', '41071', '41049', '41069', '41021', '41063', '41037', '41007', '41047', '41039', '41055', '41015', '41003', '41033', '41001', '41025', '41027', '41065', '41061', '41031', '41057']"
43,Pennsylvania,"['42095', '42037', '42097', '42101', '42041', '42131', '42025', '42063', '42071', '42129', '42011', '42111', '42087', '42029', '42073', '42113', '42003', '42075', '42047', '42099', '42079', '42043', '42031', '42081', '42069', '42023', '42051', '42055', '42015', '42021', '42005', '42053', '42049', '42039', '42115', '42123', '42121', '42013', '42065', '42085', '42009', '42001', '42093', '42127', '42035', '42019', '42117', '42107', '42059', '42091', '42017', '42133', '42007', '42057', '42089', '42119', '42077', '42067', '42109', '42103', '42033', '42061', '42045', '42083', '42125', '42027', '42105']"
44,PR,"['72073', '72137', '72063', '72033', '72059', '72011', '72035', '72009', '72013', '72115', '72081', '72003', '72025', '72113', '72149', '72043', '72015', '72119', '72037', '72057', '72105', '72023', '72067', '72139', '72133', '72077', '72055', '72017', '72109', '72069', '72053', '72005', '72021', '72095', '72097', '72027', '72085', '72001', '72127', '72049', '72047', '72107', '72091', '72099', '72153', '72147', '72131', '72111', '72129', '72079', '72007', '72143', '72041', '72039', '72151', '72103', '72065', '72075', '72125', '72051', '72093', '72031', '72135', '72029', '72101', '72054', '72141', '72117', '72089', '72045', '72123', '72019', '72061', '72087', '72071', '72121']"
45,PW,['70030']
46,Rhode Island,"['44001', '44005', '44003', '44007', '44009']"
47,South Carolina,"['45067', '45087', '45003', '45011', '45031', '45027', '45013', '45037', '45005', '45001', '45057', '45069', '45041', '45021', '45015', '45051', '45053', '45035', '45043', '45075', '45039', '45055', '45017', '45049', '45071', '45063', '45019', '45089', '45009', '45033', '45085', '45065', '45073', '45079', '45061', '45047', '45007', '45029', '45091', '45081', '45077', '45059', '45025', '45045', '45083', '45023']"
48,South Dakota,"['46127', '46037', '46009', '46011', '46019', '46119', '46089', '46005', '46015', '46051', '46101', '46069', '46137', '46053', '46007', '46115', '46017', '46027', '46055', '46113', '46129', '46047', '46003', '46035', '46029', '46063', '46111', '46039', '46061', '46097', '46099', '46135', '46123', '46057', '46049', '46105', '46093', '46077', '46013', '46117', '46071', '46083', '46125', '46075', '46067', '46079', '46103', '46095', '46121', '46021', '46073', '46045', '46109', '46087', '46091', '46059', '46043', '46031', '46025', '46107', '46033', '46023', '46081', '46065', '46041', '46085']"
49,Tennessee,"['47137', '47099', '47183', '47129', '47141', '47095', '47011', '47069', '47087', '47001', '47027', '47185', '47177', '47025', '47111', '47105', '47083', '47107', '47035', '47005', '47089', '47149', '47049', '47023', '47119', '47093', '47029', '47041', '47021', '47187', '47019', '47125', '47017', '47013', '47091', '47163', '47085', '47131', '47155', '47145', '47143', '47101', '47181', '47059', '47165', '47007', '47121', '47043', '47135', '47075', '47113', '47065', '47179', '47133', '47055', '47003', '47123', '47175', '47159', '47153', '47015', '47173', '47057', '47051', '47109', '47081', '47071', '47127', '47079', '47067', '47117', '47037', '47171', '47031', '47097', '47077', '47147', '47167', '47063', '47189', '47151', '47115', '47169', '47139', '47009', '47157', '47061', '47033', '47103', '47053', '47073', '47047', '47039', '47045', '47161']"
50,Texas,"['48015', '48089', '48451', '48321', '48487', '48405', '48013', '48493', '48299', '48217', '48215', '48375', '48457', '48313', '48221', '48363', '48141', '48173', '48033', '48441', '48337', '48427', '48049', '48311', '48083', '48507', '48091', '48275', '48109', '48407', '48211', '48009', '48333', '48179', '48463', '48353', '48265', '48223', '48005', '48069', '48253', '48459', '48111', '48371', '48401', '48317', '48465', '48447', '48329', '48057', '48267', '48207', '48127', '48039', '48475', '48103', '48343', '48061', '48063', '48147', '48017', '48281', '48497', '48379', '48341', '48241', '48443', '48377', '48319', '48171', '48225', '48273', '48279', '48125', '48067', '48239', '48491', '48199', '48163', '48023', '48439', '48119', '48437', '48101', '48073', '48229', '48301', '48345', '48003', '48113', '48201', '48153', '48291', '48183', '48135', '48367', '48387', '48413', '48339', '48105', '48081', '48041', '48047', '48393', '48305', '48295', '48247', '48297', '48203', '48477', '48021', '48445', '48143', '48077', '48209', '48065', '48263', '48159', '48449', '48261', '48157', '48365', '48251', '48495', '48303', '48431', '48131', '48325', '48137', '48419', '48479', '48359', '48187', '48385', '48245', '48421', '48107', '48501', '48007', '48195', '48351', '48323', '48289', '48075', '48243', '48277', '48001', '48389', '48085', '48055', '48271', '48309', '48167', '48151', '48071', '48099', '48411', '48381', '48121', '48327', '48503', '48095', '48053', '48029', '48361', '48257', '48269', '48045', '48139', '48031', '48059', '48185', '48433', '48469', '48161', '48473', '48155', '48373', '48383', '48037', '48231', '48197', '48087', '48169', '48051', '48307', '48425', '48331', '48315', '48079', '48235', '48461', '48177', '48347', '48043', '48429', '48417', '48357', '48335', '48019', '48189', '48471', '48145', '48035', '48391', '48395', '48233', '48409', '48133', '48423', '48287', '48129', '48011', '48283', '48397', '48415', '48027', '48117', '48499', '48193', '48175', '48489', '48237', '48191', '48369', '48205', '48025', '48293', '48123', '48115', '48181', '48219', '48399', '48165', '48403', '48285', '48259', '48485', '48097', '48249', '48149', '48255', '48227', '48481', '48455', '48355', '48467', '48505', '48483', '48435', '48453', '48349', '48093', '48213']"
51,UM,[]
52,Utah,"['49013', '49019', '49041', '49049', '49007', '49045', '49033', '49037', '49027', '49025', '49039', '49053', '49031', '49015', '49047', '49035', '49057', '49029', '49051', '49043', '49009', '49001', '49011', '49023', '49003', '49017', '49055', '49021', '49005']"
53,Virginia,"['51119', '51510', '51093', '51073', '51083', '51195', '51071', '51163', '51021', '51145', '51133', '51199', '51033', '51147', '51775', '51017', '51820', '51023', '51087', '51660', '51065', '51540', '51009', '51057', '51105', '51141', '51027', '51710', '51181', '51800', '51550', '51161', '51127', '51683', '51041', '51760', '51005', '51149', '51730', '51650', '51089', '51155', '51117', '51770', '51165', '51175', '51107', '51031', '51750', '51810', '51177', '51085', '51515', '51063', '51113', '51049', '51167', '51187', '51630', '51091', '51029', '51001', '51590', '51520', '51075', '51097', '51109', '51183', '51735', '51740', '51115', '51011', '51179', '51137', '51059', '51830', '51013', '51595', '51159', '51000', '51193', '51185', '51025', '51067', '51077', '51053', '51101', '51061', '51143', '51171', '51840', '51043', '51191', '51099', '51197', '51690', '51003', '51600', '51047', '51700', '51045', '51131', '51069', '51035', '51139', '51121', '51169', '51680', '51153', '51570', '51079', '51125', '51173', '51670', '51157', '51135', '51095', '51037', '51007', '51610', '51051', '51036', '51015', '51019', '51103', '51111']"
54,VI,"['78020', '78000', '78030']"
55,Vermont,"['50013', '50021', '50017', '50011', '50003', '50015', '50019', '50005', '50025', '50009', '50007', '50023', '50001', '50027']"
56,Washington,"['53019', '53027', '53005', '53071', '53057', '53077', '53055', '53025', '53051', '53063', '53059', '53031', '53069', '53073', '53045', '53013', '53033', '53240', '53039', '53053', '53010', '53065', '53041', '53061', '53037', '53067', '53029', '53075', '53001', '53015', '53023', '53003', '53011', '53035', '53007', '53043', '53009', '53021', '53049', '53017', '53047']"
57,Wisconsin,"['55141', '55103', '55127', '55039', '55133', '55021', '55053', '55025', '55073', '55027', '55067', '55015', '55037', '55065', '55095', '55011', '55009', '55121', '55005', '55137', '55093', '55029', '55129', '55041', '55077', '55033', '55107', '55023', '55085', '55047', '55139', '55055', '55097', '55131', '55035', '55051', '55069', '55109', '55061', '55099', '55113', '55117', '55049', '55101', '55091', '55007', '55075', '55043', '55045', '55119', '55019', '55111', '55059', '55123', '55001', '55057', '55089', '55071', '55013', '55063', '55115', '55078', '55105', '55017', '55135', '55031', '55087', '55003', '55125', '55081', '55083', '55079']"
58,West Virginia,"['54017', '54087', '54091', '54023', '54033', '54049', '54011', '54001', '54027', '54019', '54053', '54003', '54029', '54061', '54043', '54057', '54065', '54101', '54089', '54031', '54107', '54007', '54097', '54013', '54059', '54105', '54009', '54099', '54093', '54045', '54041', '54081', '54109', '54079', '54051', '54083', '54014', '54095', '54067', '54047', '54069', '54063', '54071', '54039', '54037', '54073', '54021', '54005', '54103', '54077', '54085', '54075', '54015', '54035', '54055', '54025']"
59,Wyoming,"['56001', '56039', '56019', '56025', '56031', '56029', '56021', '56041', '56003', '56009', '56045', '56013', '56037', '56005', '56033', '56027', '56015', '56023', '56043', '56007', '56011', '56017', '56035']"
